title,content,subcodexes
"Transform","When a card transforms, its printed abilities and characteristics change to match its new form, but 
it is otherwise the same game object. That means the new form does not 'enter the realm' and does 
not trigger any 'enter the realm' effects like Genesis - it was there all along! Furthermore, since 
the new form doesn't enter the realm, it will not suffer from summoning sickness, assuming the old 
form didn't enter the realm this turn. If one card transforms into a different card, the original 
card is banished but game effects treat it as the same game object. For example, if you play 
[[Pollimorph]] on my [[Apprentice Wizard]], I end up with a Frog token under my control and the 
Apprentice Wizard card is banished. If some game effect was tracking the Apprentice Wizard, it is 
now tracking the Frog token. If one card transforms into a different type, e.g. [[Island 
Leviathan]], continue to use the same card. When a card transforms, it does not die and deathrites 
do not trigger. For example, if you [[Pollimorph]] my [[Kettletop Leprechaun]] into a Frog token, I 
do not resolve the Leprechaun's deathrite. When a card transform, control of the card does not 
change unless specified by card text. For example, if I use [[Descrate]] on your site, you still 
will control the new [[Desecrated Ground]]. If you summon [[Mimic]] to transform one of my 
artifacts, you will still control your Mimic because of Mimic's specific text, 'under your control.' 
As mentioned above, the printed abilities and characteristics change to match the new form upon 
transformation. For example, if a [[Plumed Pegasus]] is [[Shapeshift]]ed into [[Great Old One]], it 
no longer has Airborne or 3 power, and its Genesis does not trigger. Instead, it has Submerge and 16 
power. In contrast, any ongoing effects continue to apply to the new form! For example, if I cast 
[[Power of Flight]] on my [[Bosk Troll]] and then I [[Shapeshift]] it into [[Great Old One]], it 
does have Airborne until my next turn, since Power of Flight applies to the game object and isn't a 
printed ability. The game treats the new form as the same game object. For example, if the old form 
was tapped, had taken damage, and was carrying an artifact, the new form will also be tapped, have 
damage, and will be carrying that artifact. Note that Stealth and Ward, though a printed keyword on 
many cards, are tracked via a Stealth token and a Ward token, respectively. Therefore, Stealth and 
Ward tokens will carry over to the new form. For example, if I [[Shapeshift]] a [[Band of Thieves]] 
with a Stealth token into a [[Great Old One]], it will still have the Stealth token. If I cast 
[[Fade]] on my [[Bosk Troll]] and then [[Shapeshift]] it into [[Great Old One]], then it will also 
still have the Stealth token. Unlike the Airborne example, Stealth and Ward are tracked via a token, 
which carries over. Finally, if you Shapeshift a minion into a new form with the printed Stealth or 
Ward keyword, Stealth and Ward will not trigger since they are an 'enters the realm' effect. You 
only get the Stealth token or Ward token when the minion enters the realm, and it's not entering the 
realm when transforming.",""
"Traverse","Traverse means to move through a border. For example, [[Wall of Brambles]] specifies that it sits 
atop a border of a site. [[Perilous Bridge]] has a passive ability which affects its top border. To 
move through a border, a unit must take a step which causes it to enter a location on one side of 
the border, having occupied a location on the other side of the border.",""
"","","On the Ground:  Some effects use the phrase 'traverse on the ground,' e.g. [[Wall of Brambles]]. To 
'traverse on the ground,' a unit must move from the surface of a site to the surface of another 
site, excluding Airborne and Teleportation."
"Triggered Ability","A triggered ability specifies a condition and then an effect. Triggered abilities use words such as 
'when,' 'whenever,' and 'at [a specified moment].' For example, [[Scourge Zombies]] have a triggered 
ability.",""
"Turn Overview","Your turn has three phases: Start phase Main phase End phase",""
"Unburrow","Unburrow means 'to move up from underground.' For example, [[Mudflow]].",""
"Uncontrolled","Some cards in the realm are uncontrolled, meaning that neither player controls them. For example, a 
carriable artifact that's not currently being carried is uncontrolled. If an uncontrolled card has a 
trigger, e.g. [[Angel's Egg]], the owner of the card orders the trigger with other effects they 
control, as needed.",""
"Under","At the subsurface of a site (not void).",""
"Underground","The subsurface of land sites. Whenever a minion without Burrowing occupies an underground location, 
it immediately dies. An avatar may never enter an underground location. Underground is one of the 
four regions in the realm.",""
"Underwater","The subsurface of water sites. Whenever a minion without Submerge occupies an underwater location, 
it immediately dies. An avatar may never enter an underwater location. Underwater is one of the four 
regions in the realm.",""
"Unit","A unit is a collective term that includes Avatars and minions. Some cards might specify only 
minions, or only Avatars, but many cards affect units in general.",""
"Untap","To untap a card, turn it upright.  Even though only units can tap, all of your cards in the realm 
untap during your Start phase (i.e. if they were previously units and are now no longer units, they 
still untap).",""
"Updated Cards","A few cards have updated rules text that does not match the printed text. These cards have the 
'UPDATED:' label on curiosa.io and players should use the updated text. The majority of updates have 
been made for rules clarity and design intent, often reflecting the way players have been playing 
these cards all along. See below for the full list. Most Significant Updates [[Druid]] - Tawny is 
only summoned once; the thorns from the flip side only affect your sites; thorns are a site ability, 
not the Druid's, and thus can be silenced. Druid was very powerful as originally written and 
repeated summoning of a free minion (i.e. Tawny) limited future design space. [[Infiltrate]] - 
Control of the infiltrated minion returns when it no longer has Stealth, allowing for interesting 
counterplay. Infiltrate was very powerful as originally written and it was a thematic miss to retain 
control even after Stealth was lost. Updates to Match Original Design Intent [[Daperyll Vampire]], 
[[Blood Ravens]], [[Sir Galahad]], [[Mask of Mayhem]], [[Grim Guisarme]], Lance - The abilities on 
these cards only work when striking units, not sites. This matches design intent. (In an older 
version of the rules, units didn't strike sites.) [[Seirawan Hydra]] - Hydra can be killed by taking 
6 or more damage at once. For example, double defense by two [[Bosk Troll]]s will kill a Hydra. This 
matches design intent and how the card was ))played(( for a long time. [[Deathspeaker]] - The cast 
minion is banished; a copy is summoned (using its Genesis) and also banished, matching design intent 
and avoiding [[Bottomless Pit]] shenanigans where the minion could have ended up in the cemetery 
repeatedly. Minor Updates for Clarity [[Silence]], [[Sisters of Silence]], [[Magnetic Muzzle]] - 
These use the '((Silenced))' keyword. [[Heat Ray]], [[Ice Lance]], [[Rhongomyniad]] - The projectile 
must actually hit the unit it will damage. Also, these cannot damage the caster. This matches design 
intent and players were already playing them this way. [[Askelon Phoenix]] - The text uses the 
phrase 'fire damage,' matching design intent and maximizing theme. [[Vivien the Enchantress]] - 
Vivian only copies other abilities. That is, she won't copy abilities from other Viviens, avoiding 
infinite loops. [[Pudge Butcher]] - Pudge can only fight units that actually arrive at his location, 
matching design intent. [[Monastery Gargoyle]] - The Gargoyle turns into a monument so that you 
retain control of it while it's in artifact form, matching design intent. [[Purge Juggernaut]] - The 
Juggernaut won't kill itself. (In a very old version of the rules, automatons weren't minions!) 
[[Squirming Mass]] - The Mass won't gain its own power while dying, matching design intent. 
[[Updraft Ridge]] - Moving freely away matches design intent. As originally written, the minion 
would technically ))lose(( the movement bonus as soon as it moved away, which wasn't intended. 
[[Awakened Mummies]] - The Mummies fight when they unburrow via their triggered ability. (In an 
older version of the rules, intercept could interrupt movement.) [[Torshammar Trinket]] - The 
Trinket returns to hand after the turn ends, i.e., after damage has been healed. Also, it will 
return to hand from the realm even if it's not controlled by anyone. This matches design intent and 
how players have been playing it. [[Truesight Crossbow]] - With truesight, projectiles will hit 
minions with Stealth, even though hitting with a projectile doesn't target. (In an older version of 
the rules, Stealth didn't provide protection from projectiles.)",""
"Void","A square without a site is a void. Minions in the void are immediately banished unless they have 
Voidwalk. Unlike sites that have two locations (surface and subsurface), a void square only has a 
single location, the void. Voids do not have a surface or subsurface. Avatars in the void have a 
mandatory action.",""
"Voidwalk","Keyword Ability. A minion with Voidwalk can be summoned to void locations and survive in the void. 
Whenever a minion without Voidwalk occupies a void location, it is immediately banished. An avatar 
may never enter the void. By using one step, a minion with Voidwalk can move between the surface of 
a site and the void, the subsurface of a site and the void, or between adjacent void locations. For 
example, [[Hounds of Ondaros]] can be summoned to any void location. Then, after their summoning 
sickness wore off, they could use their Move and Attack ability to take a step from the void 
directly to the subsurface of an adjacent site, or directly to the surface of an adjacent site. If 
they were underground (or underwater or on the surface), they could use their step to move to an 
adjacent void.",""
"Ward","Keyword Ability. If a warded site or unit would be targeted by an opponent's spell or special 
ability, damaged, or destroyed, the Ward breaks instead. Ward is tracked with a ward token. A unit 
or site can have at most one Ward. Evil minions can't be warded. If a Warded minion becomes Evil, 
remove the Ward token and they lose Ward. Note that [[Persecutor]] only causes your cards to treat 
the branded minion as Evil, so they keep their Ward token. Only units and sites can have Wards. If a 
unit or site with Ward becomes a non-unit, non-site, remove the Ward token and they lose Ward. A 
unit or site with the Ward keyword enters the realm with a Ward token. If a minion or site becomes 
disabled or silenced, it will lose its Ward token, since Ward is an ability (similar to Stealth). 
Further Notes: Ward is a damage prevention effect. For example, if your [[Daperyll Vampire]] strikes 
my warded [[Apprentice Wizard]], the Vampire will try to deal 4 damage, the Ward prevents it and 
breaks, the Apprentice Wizard survives, and you do not heal from the Vampire's strike. If a warded 
unit would take damage from multiple sources simultaneously, all simultaneous damage is prevented 
and the Ward breaks. For example, when a minion with a Ward attacks and multiple units defend that 
attack. You can target your own warded units and sites with your own spells and special abilities. 
Ward protects against any damage (from you or your opponent), any destruction (from you or your 
opponent), and targeting via special abilities and spells (from your opponent only). For example, if 
I tried to [[Bury]] your warded minion, I could cast the magic since your minion is a valid target. 
The Bury goes onto the Storyline. Then, as Bury resolves from the Storyline, the Ward protects the 
targeted minion and breaks, and minion isn't burrowed. Ward protects the targeted minion or site at 
the time the effect resolves. You resolve as much of the effect as you can otherwise. For example, I 
cast [[Grievous Insult]] targeting your warded minion. The spell goes onto the storyline. Then as 
the Magic is resolving, the Ward protects the targeted minion and breaks, and minion isn't silenced 
or tapped. Then, I still get to draw a spell. Another example: I cast [[Bury]] targeting your warded 
minion while carrying a [[Ring of Morrigan]]. The Bury goes onto the Storyline. The Ring of Morgana 
triggers, dealing 1 damage to warded minion. The Ward protects the minion and breaks, dealing no 
damage. Then, as Bury resolves from the Storyline, the Ward is already gone so the minion is 
burrowed. A Ward also protects a location at a Warded site from being targeted. At the time the 
spell or special ability resolves, the Ward will break, and the location will be removed as a 
target. If a Ward protects a target, additional effects that rely on the target do not resolve. For 
example, I cast [[Geyser]] on your warded site. The Ward protects the site and breaks. No minions 
gain Airborne, since 'there' references the site, which was the protected target. Similarly, 
[[Craterize]] would deal no damage at all if it targeted a warded site. Another example: My 
[[Abaddon Succubus]] tries to lure your warded minion. The Ward protects the minion and breaks. The 
protected minion does not take a step closer, does not take 2 damage, and I do not heal 2. Note that 
Move and Attack is a Basic Ability, and thus Ward does not protect a unit from being attacked. For 
example, if I have a warded Apprentice Wizard, you ))can attack(( it. But, once we get to strikes in 
the attack sequence, assuming you actually strike for 1 or more damage, the Apprentice Wizard's Ward 
will break at that point, preventing the damage.",""
"Water Site","A water site is a site that provides one or more water affinity. If a site provides water affinity 
and other types of affinity (e.g. earth), it's still a water site (and not a land site). If a site 
previously provided water affinity and then stops providing water affinity, then it also stops being 
a water site. 'Land site' and 'water site' are mutually exclusive. A site cannot be both a water 
site and a land site; it will always be one or the other.",""
"Waterbound","Keyword Ability. This minion is disabled while not occupying at least one water location. The 
waterbound ability persists even when disabled.",""
"Winning the Game","You win the game if you deal a death blow to your opponent's avatar, or if your opponent attempts to 
draw a card from an empty deck. There may be other effects that cause you to win the game, e.g. 
[[Wedding Hall]].",""
"Wounded","A wounded minion is one that has damage (from this turn). A wounded Avatar is one that has current 
life less than its maximum life.",""
"You","'You' and 'your' in card text refers to the player. For example, [[Sparkmage]] cares about 'spells 
you've cast,' which includes any spells from any of your spellcasters. As another example, [[Bone 
Rabble]] would trigger if you used your Avatar's ability or if you used [[Frontier Settlers]]. Some 
older cards use the word 'you' to mean 'your avatar.' If it's impossible to read the card as 
'player' in a sensible way, then use 'avatar' instead. For example, [[Cerberus in Chains]] follows 
your avatar and [[Avatar of Earth]] looks at her own adjacent sites.",""
"Zero","In Sorcery, if there is zero of something, the game considers that thing to not exist at all. For 
example: If a unit takes zero damage, then it did not actually take any damage at all. Triggers 
looking for damage wouldn't be satisfied. If a unit takes zero steps, then it did not move at all. 
Triggers looking for movement wouldn't be satisfied. If you draw zero cards, you did not draw any 
cards at all. Triggers looking for card draws wouldn't be satisfied. etc. There are two notable 
exceptions: It is possible to strike for zero damage, e.g. [[Grandmaster Wizard]]. The unit still 
made a strike for effects that are looking for strikes (e.g. [[Phantasmal Shade]]), but the strike 
didn't do any damage at all. It's possible for units to have zero power and still exist in the 
realm. Units with 0 power (e.g. [[Grandmaster Wizard]]) only die if they take damage (1 or more). A 
spell cast for zero mana does not require any mana at all to cast, but it still counts as a cast 
spell.",""
"Zone","A zone is a general area where a card can exist. Game zones include: The realm (a shared zone) Each 
player's spellbook, atlas, cemetery, collection, and hand zones (specific to each player) The 
storyline (a shared zone) Additional zones based on specific cards (e.g. [[Morgana le Fay]] creates 
a 'Morgana's hand' zone.) Public zones include the realm and cemeteries, and cards in these zones 
have no hidden information, i.e. they're face-up, and you're allowed to look at the opposite side of 
any card in those zones, e.g. [[Druid]]. For clarity of game state, it's acceptable to put banished 
cards face-down in a specific area of the table, but they may be reviewed by either player at any 
time. The number of cards and type of card (e.g. spell or site) in each zone is public information 
(e.g. any player can know how many cards remain in any deck, or how many cards of each type you have 
in your hand). Each player may view the cards in their own hand and collection. Cards in the 
spellbook and atlas are face-down, and thus not visible to any player.",""
